scenario;s10_m1;s10_m2;s50_m1;s50_m2;s100_m1;s100_m2;s250_m1;s250_m2;s500_m1;s500_m2;s1000_m1;s1000_m2;s1500_m1;s1500_m2;s2000_m1;s2000_m2;s2500_m1;s2500_m2;s3000_m1;s3000_m2
L1-dcache-loads;682161534;655937112;667150662;681592467;711109416;683529417;785584841;830527759;1320602772;1151188221;4943980006;2946425271;14643849185;8063027618;33199024376;17480112852;64151305224;32913721345;110177418488;56171620691
L1-dcache-load-misses;43020723;42508987;43233939;45077629;45291109;45572838;72893651;49834069;353836233;68718180;2530590776;190342126;10717687226;524281269;24343930500;1299780048;46574999424;4096869594;83975495677;7044895287
LLC-loads;6331512;5981411;6839824;5778825;6984220;6854994;8552364;5532840;23594112;7085593;1553557530;13735932;6383765461;23997083;17714385147;32370381;34724897369;42735333;62291077067;64788248
LLC-loads-misses;1444143;1035538;1420060;1050384;1415394;857042;1730697;769351;3787578;1022571;58605193;3760251;197356119;9028716;471334737;8670115;953542229;11136694;1724615552;19108706
cache-references;83108336;80007855;85831094;80822717;84473136;81095458;94901060;82005496;142694192;126461031;3821101432;379625149;22364326524;1043056431;59997077857;2382776296;114998054537;4510968909;205319682236;7713648587
cache-misses;14662107;15572544;19991383;14111946;17881744;18418647;21072748;18795798;32652095;20852949;266711654;173435339;799552089;666511672;1892206190;1544076317;3622632870;3083413605;7113436114;5420758737
dTLB-loads;545717712;481001186;678503938;549077275;674423676;635740298;597534499;726153266;1260676405;889472169;4924282326;2826792219;14556153225;7536387056;33305685463;17240699571;64166681002;32816501307;110262601864;55676557939
dTLB-loads-misses;204297;192382;206023;184941;174304;200839;197022;212536;297900;324099;838116801;787048;5736585467;11421843;14183139463;6440715;28362353459;4765693;49905059434;18655686
cpu-cycles;1475004543;1419272181;1365157621;1422451590;1523124869;1582043223;1553644426;1812940914;2674924566;2442432264;18253495126;6224616506;106507747554;17587445025;257222500825;36025870642;496569757930;67920898213;902779235202;116777365524
instructions;1992115121;1900984405;1943651054;1886087021;2101852972;2011320803;2150582519;2432016816;3900975435;3162946467;14965094824;7374558410;44073912147;19182220578;100021666595;40612776787;193121008203;75782751330;331503175540;128510952913
